state,avg_count,avg_amount
"karnataka                         ",103021.26,144376570.89
"maharashtra                       ",95554.68,124375186.11
"uttar-pradesh                     ",59955.42,91597183.95
"tamil-nadu                        ",63961.53,81868802.79
"kerala                            ",43380.79,69143079.32
"telangana                         ",47070.63,61634711.32
"west-bengal                       ",44195.53,55392802.05
"rajasthan                         ",33667.58,50508097.89
"haryana                           ",30196.74,43735854.05
"delhi                             ",34342.84,42913956.42
"andhra-pradesh                    ",36724.68,42748578.16
"gujarat                           ",29610.26,38380707.42
"madhya-pradesh                    ",25641.05,37429129.84
"bihar                             ",28241.68,35318779.74
"odisha                            ",16777.32,21924170.42
"assam                             ",13832.53,21675317.79
"jharkhand                         ",13727.74,18351123.95
"punjab                            ",9474.26,16478198.53
"chhattisgarh                      ",9974.58,14439204.53
"uttarakhand                       ",6546.00,10563505.95
"jammu-&-kashmir                   ",4125.00,8101216.42
"himachal-pradesh                  ",3252.11,6173109.05
"goa                               ",3151.16,4406842.37
"puducherry                        ",1470.53,1953729.11
"tripura                           ",1325.89,1775918.74
"chandigarh                        ",1162.05,1751888.68
"arunachal-pradesh                 ",537.58,1232671.32
"meghalaya                         ",550.58,1071440.11
"andaman-&-nicobar-islands         ",684.05,1020357.47
dadra-&-nagar-haveli-&-daman-&-diu,725.89,946969.16
"sikkim                            ",257.68,572809.68
"nagaland                          ",249.74,481927.21
"ladakh                            ",175.68,410964.89
"manipur                           ",196.37,376339.68
"mizoram                           ",196.00,287504.84
"lakshadweep                       ",26.11,32844.05
